player_id,name_first,name_last,name_full,dummy
schmiwa01,Walter,Schmidt,Walter Schmidt,1
schmiwi01,Willard,Schmidt,Willard Schmidt,1
schmost01,Steve,Schmoll,Steve Schmoll,1
schmuch01,Charlie,Schmutz,Charlie Schmutz,1
schmuha01,Hank,Schmulbach,Hank Schmulbach,1
schnebr01,Brian,Schneider,Brian Schneider,1
schneda01,Dan,Schneider,Dan Schneider,1
schneda02,Dave,Schneck,Dave Schneck,1
schnefr01,Frank,Schneiberg,Frank Schneiberg,1
schneje01,Jeff,Schneider,Jeff Schneider,1
schneka01,Karl,Schnell,Karl Schnell,1
schnepe01,Pete,Schneider,Pete Schneider,1
schoege01,Gerry,Schoen,Gerry Schoen,1
schoeju01,Jumbo,Schoeneck,Jumbo Schoeneck,1
schoere01,Red,Schoendienst,Red Schoendienst,1
schoesc01,Scott,Schoeneweis,Scott Schoeneweis,1
schofdi01,Dick,Schofield,Dick Schofield,1
schofdi02,Dick,Schofield,Dick Schofield,1
schomot01,Otto,Schomberg,Otto Schomberg,1
schooje01,Jerry,Schoonmaker,Jerry Schoonmaker,1
schoojo01,Jonathan,Schoop,Jonathan Schoop,1
schoomi01,Mike,Schooler,Mike Schooler,1
schored01,Ed,Schorr,Ed Schorr,1
schotge01,Gene,Schott,Gene Schott,1
schoupe01,Pete,Schourek,Pete Schourek,1
schrapa01,Paul,Schramka,Paul Schramka,1
schreba01,Barney,Schreiber,Barney Schreiber,1
schreha01,Hank,Schreiber,Hank Schreiber,1
schreos01,Ossee,Schrecongost,Ossee Schrecongost,1
schrepa01,Paul,Schreiber,Paul Schreiber,1
schrest01,Steve,Schrenk,Steve Schrenk,1
schrete01,Ted,Schreiber,Ted Schreiber,1
schripo01,Pop,Schriver,Pop Schriver,1
schroal01,Al,Schroll,Al Schroll,1
schrobi01,Bill,Schroeder,Bill Schroeder,1
schrobo01,Bob,Schroder,Bob Schroder,1
schroch01,Chris,Schroder,Chris Schroder,1
schroke01,Ken,Schrom,Ken Schrom,1
schubhe01,Heinie,Schuble,Heinie Schuble,1
schuero01,Ron,Schueler,Ron Schueler,1
